WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
08;12;;;wschowski;powiat;2024-01-01
20;13;;;wysokomazowiecki;powiat;2024-01-01
14;35;;;wyszkowski;powiat;2024-01-01
24;78;;;Zabrze;miasto na prawach powiatu;2024-01-01
20;14;;;zambrowski;powiat;2024-01-01
06;20;;;zamojski;powiat;2024-01-01
06;64;;;Zamość;miasto na prawach powiatu;2024-01-01
24;16;;;zawierciański;powiat;2024-01-01
02;24;;;ząbkowicki;powiat;2024-01-01
10;19;;;zduńskowolski;powiat;2024-01-01
10;20;;;zgierski;powiat;2024-01-01
02;25;;;zgorzelecki;powiat;2024-01-01
08;62;;;Zielona Góra;miasto na prawach powiatu;2024-01-01
08;09;;;zielonogórski;powiat;2024-01-01
02;26;;;złotoryjski;powiat;2024-01-01
30;31;;;złotowski;powiat;2024-01-01
14;36;;;zwoleński;powiat;2024-01-01
08;10;;;żagański;powiat;2024-01-01
08;11;;;żarski;powiat;2024-01-01
04;19;;;żniński;powiat;2024-01-01
24;79;;;Żory;miasto na prawach powiatu;2024-01-01
14;37;;;żuromiński;powiat;2024-01-01
14;38;;;żyrardowski;powiat;2024-01-01
24;17;;;żywiecki;powiat;2024-01-01
